epoch,step,train_loss,val_loss
0,31,,0.49153655767440796
1,49,0.42667078971862793,
1,63,,0.41096773743629456
2,95,,0.35910239815711975
3,99,0.3530833125114441,
3,127,,0.3213472366333008
4,149,0.2784363627433777,
4,159,,0.27643120288848877
5,191,,0.24743282794952393
6,199,0.23490482568740845,
6,223,,0.23273496329784393
7,249,0.2220156490802765,
7,255,,0.22042837738990784
8,287,,0.2017381638288498
9,299,0.19353269040584564,
9,319,,0.1808834969997406
10,349,0.1730130910873413,
10,351,,0.17682313919067383
11,383,,0.16889828443527222
12,399,0.15824909508228302,
12,415,,0.16607177257537842
13,447,,0.16578470170497894
14,449,0.17580761015415192,
14,479,,0.1663622111082077
15,499,0.16608008742332458,
15,511,,0.16232864558696747
16,543,,0.1614164113998413
17,549,0.1573842167854309,
17,575,,0.1534235030412674
18,599,0.1605706661939621,
18,607,,0.14457586407661438
19,639,,0.1303885132074356
20,649,0.1105494275689125,
20,671,,0.12824195623397827
21,699,0.10179632902145386,
21,703,,0.12089598923921585
22,735,,0.11262791603803635
23,749,0.12130656093358994,
23,767,,0.1055193617939949
24,799,0.08328521996736526,
24,799,,0.10141472518444061
25,831,,0.10643428564071655
26,849,0.11423785984516144,
26,863,,0.09606464207172394
27,895,,0.09387681633234024
28,899,0.10584552586078644,
28,927,,0.09725452214479446
29,949,0.10822268575429916,
29,959,,0.09238119423389435
30,991,,0.09202569723129272
31,999,0.09788160026073456,
31,1023,,0.0930851548910141
32,1049,0.09398890286684036,
32,1055,,0.09470899403095245
33,1087,,0.09016124904155731
34,1099,0.09918670356273651,
34,1119,,0.09463776648044586
35,1149,0.08571144193410873,
35,1151,,0.09108564257621765
36,1183,,0.09114310145378113
37,1199,0.09360305964946747,
37,1215,,0.09113352745771408
38,1247,,0.09034200012683868
39,1249,0.10657978802919388,
39,1279,,0.09157568216323853
40,1299,0.0742921233177185,
40,1311,,0.08938223868608475
41,1343,,0.08979762345552444
42,1349,0.09000647813081741,
42,1375,,0.08851152658462524
43,1399,0.09531651437282562,
43,1407,,0.0900954082608223
44,1439,,0.08942282944917679
45,1449,0.09515705704689026,
45,1471,,0.08825766295194626
46,1499,0.09623204916715622,
46,1503,,0.08800250291824341
47,1535,,0.08835598081350327
48,1549,0.08470059186220169,
48,1567,,0.09096994251012802
49,1599,0.0749046802520752,
49,1599,,0.08846286684274673
50,1631,,0.08953321725130081
51,1649,0.0759541317820549,
51,1663,,0.08870066702365875
52,1695,,0.08998766541481018
53,1699,0.09072542190551758,
53,1727,,0.08813644200563431
54,1749,0.09001968055963516,
54,1759,,0.0881694033741951
55,1791,,0.09152214229106903
56,1799,0.09489580243825912,
56,1823,,0.08855260908603668
57,1849,0.0998934805393219,
57,1855,,0.08767076581716537
58,1887,,0.08679140359163284
59,1899,0.08105672895908356,
59,1919,,0.0871216356754303
60,1949,0.09057716280221939,
60,1951,,0.08669815212488174
61,1983,,0.08826221525669098
